"Cleaned_value ( ""Value"" column of the OLIS observation is cleaned)",counts,Flag,name,Overall counts: 687707,% missingness over all in all columns) :  79%
cancelled routine respiratory virus testing is not available for ambulatory non hospitalized emergency roon er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs,1,Unknown,,,
adenovirus multipex nat not detected,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name cstokl01s,1,Unknown,,,
specimen received failed to meet the requirements for the test s requested the sample s is incorrectly labelled and has been discarded in the interest of patient safety and good laboratory practice re order and re submit if required called to savsteph at by labouhai1 on,1,Unknown,,,
critical results phoned to and read back by panzie ac,1,Unknown,,,
results called by helena liebermann at results called to mackenzie er read back y called to infection control,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name ebpatel02s,1,Unknown,,,
see order q418for fluab and covid,1,Unknown,,,
leaking specimen received please recollect sample,1,Unknown,,,
critical results phoned to and read back by jemini wer time and date by jajn mclay mlt,1,Unknown,,,
verbal report given to shannel rn w13emed by sadig mohamed,1,Unknown,,,
covid 19 virus not detected by real time pcr covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay,1,Unknown,,,
please see duplicate order in soarian,1,Unknown,,,
verbal report given to mira rn by sarish asad,1,Unknown,,,
critical results phoned to and read back by ernestine time and date by angela boakye,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name tnaoum01s,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name mpourho01s,1,Unknown,,,
specimen received failed to meet the requirements for the test s requested an incorrect sample s was submited and has been discarded in the interest of patient safety and good laboratory practice re order and re submit sample if required called to kim baker q6 at by la by rlyn1 on,1,Unknown,,,
please refer to specimen received on,1,Unknown,,,
parainfluenza virus 1 2 3 4 by multiplex naat detected see scanned report,1,Unknown,,,
duplicate order please refer to specimen collected on the same day,1,Unknown,,,
results called by purnima tuniya at results called to rn clara er read back,1,Unknown,,,
critical results phoned to and read back by marcelio time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by eroz theodorarn time and date by peter nueve,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name ksant01s,1,Unknown,,,
specimen unsuitable for culture because the specimen appears to be an inappropriate swab,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name gmann02s,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name cmauli01s,1,Unknown,,,
verbal report given to rhizalyn rn w07wcard by sadig mohamed,1,Unknown,,,
verbal report given to leilani rn w09wmed by sadig mohamed,1,Unknown,,,
critical results phoned to and read back by mattie w04paed,1,Unknown,,,
verbal report given to gladys rn by sarish asad,1,Unknown,,,
l critical results phoned to and read back by helen rn time and date by emmanuel gallardo mlt,1,Unknown,,,
verbal report given to nancy rn by christine fines,1,Unknown,,,
test not performed duplicate specimen received within 24 hr,1,Unknown,,,
verbal report given to iwona rn wer sa by sadig mohamed,1,Unknown,,,
phoned to icp csm name emailed at phoned to patient location name lbrand01s,1,Unknown,,,
results called by peter mayberry at results called to noni ndlovu rn read back y a copy of this report has been sent to the medical officer of health kenora northwestern health unit,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name kgillingham01s,1,Unknown,,,
duplicate order please refer to order number for,1,Unknown,,,
confirmation of critical results phoned to and read back by gurinder,1,Unknown,,,
sample rejected please note sample received in a wrong transport medium recollect new sample if clinically indicated,1,Unknown,,,
results called by osvaldo reinoso at results called to melissa lanthier read back y,1,Unknown,,,
duplicate specimen received hence not processed refer to for result,1,Unknown,,,
the toronto phl reports due to a laboratory error results are not available for this sample we apologize for the error and request a repeat sample phl lab no toronto public health laboratory phl 661 university avenue suite 1701 toronto on m5g 1m,1,Unknown,,,
critical results phoned to and read back by sheela time and date by jiji rajan,1,Unknown,,,
poor specimen quality refer to laboratory number t8572 for result,1,Unknown,,,
verbal report given to nelson er by vincenzina portelli,1,Unknown,,,
critical results phoned to and read back by eroz pagah,1,Unknown,,,
covid 19 virus pcr test unable to be completed this specimen was documented as collected but not received by the microbiology laboratory after 7 days if this test is still required please place a new order,1,Unknown,,,
critical results phoned to and read back by stephanie sa,1,Unknown,,,
test not perform on a duplicate sample collected within,1,Unknown,,,
critical results phoned to and read back by charlene 12wmed time and date by jajn mclay,1,Unknown,,,
not tested specimen not received,1,Unknown,,,
refer to specimen collected on,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name lglover01s,1,Unknown,,,
p1 text human rhinovirus organism p1 text,1,Unknown,,,
please refer to order for respiratory detection,1,Unknown,,,
critical results phoned to and read back by ac11 preetrn time and date by peter nueve,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name apiekulisk01s,1,Unknown,,,
test not done wrong kit received,1,Unknown,,,
phoned to icp csm name e mailed icp 2117 phoned to patient location name tfoster01s,1,Unknown,,,
results called by osvaldo reinoso at results called to valerie mgbatogu read back y,1,Unknown,,,
test performed on cepheid genexpert,1,Unknown,,,
critical results phoned to and read back by gretchen rn time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by andrea time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by jessica w07wcard time and date by denise balcharan,1,Unknown,,,
this multiplex naat respiratory panel detects seasonal coronaviruses oc43 229e nl63 and hku1 this assay does not test for covid 19 virus 2019 novel coronavirus specific testing is performed for covid 19 if required this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory copy of results sent to moh,1,Unknown,,,
cancelled routine seasonal respitatory virus testing is not available for adult emergency er patients and ambulatory patients of all ages please refer to pho s respiratory viruses test information sheet at www publichealthontario ca labs,1,Unknown,,,
critical results phoned to and read back by indira w13emed time and date by denise balcharan,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name emaxwel01s,1,Unknown,,,
rhinovirus multiplex naat not detected,1,Unknown,,,
critical results phoned to and read back by rufelle ozone,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name bsanthamma01s,1,Unknown,,,
critical results phoned to and read back by e mailed occ time and date by antony sebastian mlt,1,Unknown,,,
specimen sent to the phl for viral culture,1,Unknown,,,
see report below,1,Unknown,,,
critical results phoned to and read back by tyler ac,1,Unknown,,,
verbal report given to maria rn w13emed by sadig mohamed,1,Unknown,,,
critical results phoned to and read back by laysa,1,Unknown,,,
a copy of this report has been sent to the medical officer of health kenora northwestern health unit patient to be admitted to hospital,1,Unknown,,,
critical results phoned to and read back by adna dialysis,1,Unknown,,,
not processed mislabelled specimen please recollect,1,Unknown,,,
critical results phoned to and read back by christie ac,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name hmasoumi01s,1,Unknown,,,
critical results phoned to and read back by tatti 9wmed time and date by jajn mclay,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name ccarter01s,1,Unknown,,,
critical results phoned to and read back by betton ozone30 time and date by jajn mclay,1,Unknown,,,
critical results phoned to and read back by lamlam wer time and date by chantal morris,1,Unknown,,,
critical results phoned to and read back by john annie w13emed,1,Unknown,,,
phoned to icp csm name email sent 4 1 20 at phoned to patient location name jgardns01s,1,Unknown,,,
verbal report given to cassidy rn w09wmed by sadig mohamed,1,Unknown,,,
test result covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory this real time pcr assay has been validated at public health ontario laboratories and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada this test includes two targets rna dependent rna polymerase rdrp gene and envelope gene e detection of two gene targets is required for laboratory confirmation of covid 19 2019 novel coronavirus disease virus by real time pcr results should be interpreted in the context of the clinical history and other pathological findings copy of results sent to moh tested by public health laboratory toronto 661 university avenue suite 1701 toronto on m5g 1m,1,Unknown,,,
critical results phoned to and read back by vidya rn 4paed time and date by jenny borromeo,1,Unknown,,,
phoned to icp csm name sent email phoned to patient location name hwilkin01s,1,Unknown,,,
results called by peter mayberry at results called to christine rose rn read back y a copy of this report has been sent to the medical officer of health kenora northwestern health unit,1,Unknown,,,
cancelled sample routine respiratory virus testing is not available for er patients,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name cheron02s,1,Unknown,,,
final ph report faxed to ordering health care provider final ph report scanned to emr final ph report may follow in olis 20 wanda phillips healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,1,Unknown,,,
phoned to icp csm name mcohen01s phoned to patient location name lisa egan bates,1,Unknown,,,
critical results phoned to and read back by ac12elilas,1,Unknown,,,
see phl report scanned in emr final result available under laboratory miscellaneous test cancelled by phl phl report,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name nveron01s,1,Unknown,,,
please refer to order for results,1,Unknown,,,
critical results phoned to and read back by rachel 7w,1,Unknown,,,
please recollect if required a dry nasopharyngeal swab was collected which is the swab used for covid 19 testing if influenza a and b is required please recollect using the respiratory viral transport medium,1,Unknown,,,
results called by rebecca at results called to alyssa read back y results called to left message with infection control results faxed by rebecca at results faxed to nwhu,1,Unknown,,,
critical results phoned to and read back by isaiah 8emed time and date by jajn mclay,1,Unknown,,,
test not done oral cavity swab is unsuitable for respiratory virus testing refer to np swab collected on,1,Unknown,,,
phoned to icp csm name charlt001s phoned to patient location name dr s by sbonyuk,1,Unknown,,,
results called by jennifer sanna white at results called to madison mota read back y a copy of this report has been sent to the medical officer of health kenora northwestern health unit,1,Unknown,,,
critical results phoned to and read back by reggie sa20 time and date by jajn mclay,1,Unknown,,,
phoned to icp csm name ccharlto01s phoned to patient location name jbarbeau01s,1,Unknown,,,
see order number for covid and fluab results,1,Unknown,,,
critical results phoned to and read back by joyce oz,1,Unknown,,,
phoned to icp csm name sent email phoned to patient location name ajones06s,1,Unknown,,,
test not performed at phl,1,Unknown,,,
verbal report given to afia by jennifer mccall,1,Unknown,,,
critical results phoned to and read back by theodora rn er,1,Unknown,,,
critical results phoned to and read back by vida,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name smdanab01s,1,Unknown,,,
inappropriate sample received test not done please recollect if clinically indicated,1,Unknown,,,
please see order for combined testing of covid and fluab,1,Unknown,,,
verbal report given to daniella rn w07ecard by sadig mohamed,1,Unknown,,,
critical results phoned to and read back by wai khei time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by eroz elana time and date by peter nueve,1,Unknown,,,
this specimen was tested using the biofire filmarray respiratory panel 2 1 assay,1,Unknown,,,
specimen received in expired swab kit exp therefore unsuitable for testing sample not processed,1,Unknown,,,
testing not performed by phl and specimen has been discarded please reorder if necessary,1,Unknown,,,
duplicate order in soarian refer to,1,Unknown,,,
test request respiratory syncytial virus,1,Unknown,,,
duplicate order refer to collected on nov,1,Unknown,,,
verbal report given to cheryl 7wcard by vincenzina portelli,1,Unknown,,,
not performed on outpatients,1,Unknown,,,
phoned to icp csm name email sent 13 2 20 at phoned to patient location name tnaoum01s,1,Unknown,,,
critical results phoned to and read back by marta 9paeds time and date by jajn mclay,1,Unknown,,,
critical results phoned to and read back by tina,1,Unknown,,,
critical results phoned to and read back by agness 13wmed time and date by chantal morris,1,Unknown,,,
critical results phoned to and read back by sukhjit rn w12emed,1,Unknown,,,
critical results phoned to and read back by christy rn,1,Unknown,,,
final ph report faxed to ordering health care provider final ph report scanned to emr final ph report may follow in olis 21 monique lacasse healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,1,Unknown,,,
verbal report given to christina rn by sarish asad,1,Unknown,,,
not tested unsuitable sample for testing if test is still indicated please collect nasopharyngeal swab,1,Unknown,,,
verbal report given to marta rn w04paed by sadig mohamed,1,Unknown,,,
critical results phoned to and read back by angela rn ac er time and date by nicole dordolo mlt,1,Unknown,,,
phoned to icp csm name email sent 24 1 20 at phoned to patient location name svassos01s,1,Unknown,,,
critical results phoned to and read back by ersa03 maya rn time and date by peter nueve,1,Unknown,,,
covid 19 virus pcr test unable to be completed duplicate specimen received hence not processed please refer to,1,Unknown,,,
reference lab report scanned by health records to view the report go to the respective emr or pcs pcm webacute application webacute see diagnostic tab s laboratory s scanned reports emr see laboratory section s scanned reports tab selecting all visits will capture reports on other accounts hre,1,Unknown,,,
this is a duplicate order this test has been cancelled please refer to specimen collected on,1,Unknown,,,
no growth,1,Unknown,,,
critical results phoned to and read back by eroz alex time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by 4paed safiya rn time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by zoya er time and date by angela boakye mlt,1,Unknown,,,
critical results phoned to and read back by john,1,Unknown,,,
critical results phoned to and read back by ac07jarvis rn time and date by peter nueve,1,Unknown,,,
please see for result,1,Unknown,,,
verbal report given to lisa rn wer by sadig mohamed,1,Unknown,,,
refer to virus detection below,1,Unknown,,,
mverbal report given to izabelle rn w04paed by sadig mohamed,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name jvillel01s,1,Unknown,,,
critical results phoned to and read back by eroza marcalio time and date by peter nueve,1,Unknown,,,
please refer to specimen received,1,Unknown,,,
specimen forwarded to lifelabs you will receive results directly from lifelabs,1,Unknown,,,
critical results phoned to and read back by kenny time and date by antony sebastian mlt,1,Unknown,,,
rejected due to mismatched specimen,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name xnguy01s,1,Unknown,,,
critical results phoned to and read back by divya time and date by raymond lakhan,1,Unknown,,,
specimen delayed in transit delivered at collected advised rn jacklyn to recollect,1,Unknown,,,
a copy of this report has been sent to the medical officer of health kenora northwestern health unit patient is admitted to hospital,1,Unknown,,,
not meeting requirement by phl for testing,1,Unknown,,,
phoned to icp csm name emailed at phoned to patient location name mpourho,1,Unknown,,,
critical results phoned to and read back by theodore time and date by raymond lakhan,1,Unknown,,,
pooled with other bal received lingula rml,1,Unknown,,,
critical results phoned to and read back by roselie rn time and date by christine fines faxed to moh,1,Unknown,,,
specimen delayed in transit this specimen was received hours after the stated time of collection therefore unsuitable for pcr,1,Unknown,,,
specimen rejected testing is not performed on outpatients,1,Unknown,,,
old,1,Unknown,,,
critical results phoned to and read back by derric 12emed time and date by chantal morris,1,Unknown,,,
phoned to icp csm name emailed at phoned to patient location name nromano01s,1,Unknown,,,
critical results phoned to and read back by 6eicu itatsu,1,Unknown,,,
verbal report given to maia rn wer by sadig mohamed,1,Unknown,,,
critical results phoned to and read back by mikko cd u oz,1,Unknown,,,
verbal report given to bob by by angela boakye mlt,1,Unknown,,,
phoned to icp csm name email phoned to patient location name msebast01s,1,Unknown,,,
results called by osvaldo reinoso at results called to dr duffy read back y,1,Unknown,,,
phoned to icp csm name sent email phoned to patient location name sforbes01s,1,Unknown,,,
duplicate sample refer to order number,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name esanagu01s,1,Unknown,,,
test not done specimen received in wrong container please submit a new speciemn in viral transport media if test is still needed,1,Unknown,,,
critical results phoned to and read back by sabrina,1,Unknown,,,
critical results phoned to and read back by afia time and date by peter nueve,1,Unknown,,,
see plv,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name mcherubin01s,1,Unknown,,,
the specimen is leaked unable to perform test please recollect,1,Unknown,,,
corona oc43 299e nl63 hku cancelled,1,Unknown,,,
critical results phoned to and read back by agnes wer ac03 time and date by jajn mclay,1,Unknown,,,
critical results phoned to anne rn wer tl time and date by abigail bu ot,1,Unknown,,,
please note sample rejected inappropriate transport media used for collection please re collect if clinically indicated,1,Unknown,,,
phoned to icp csm name sent email phoned to patient location name iroberge01s,1,Unknown,,,
testing not performed by phl at the time of collection reference lab report scanned by health records to view the report go to the respective emr or pcs pcm webacute application webacute see diagnostic tab s laboratory s scanned reports emr see laboratory section s scanned reports tab selecting all visits will capture reports on other accounts,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name twren01s,1,Unknown,,,
see order q418for fluab results,1,Unknown,,,
specimen rejected for analysis collected improperly please recollect if appropriate informed nataly tl time and date by jajn mclay reason not enough sample for testing,1,Unknown,,,
critical results phoned to and read back by jennifer ac,1,Unknown,,,
verbal report given to jessica rn w04wpaed by sadig mohamed,1,Unknown,,,
results called by ashlee dargie at results called to valerie er read back y a copy of this report has been sent to the medical officer of health kenora northwestern health unit report sent to infection control,1,Unknown,,,
critical results phoned to and read back by sa16 janet rn time and date by peter nueve,1,Unknown,,,
testing not performed,1,Unknown,,,
critical results phoned to and read back by dilara time and date by sarish asad mlt,1,Unknown,,,
critical results phoned to and read back by oz jennifer rn time and date by peter nueve,1,Unknown,,,
refer to,1,Unknown,,,
please refer to order collected for results,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name kcristan01s,1,Unknown,,,
critical results phoned to and read back by oz20 elisarn time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by agnes,1,Unknown,,,
critical results phoned to and read back by alicia 4mbu,1,Unknown,,,
please refer to order for result,1,Unknown,,,
verbal report given to isiah rnw08emed by sadig mohamed,1,Unknown,,,
24hrs please refer to order number for result,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name dniesin01s,1,Unknown,,,
verbal report given to selvi by sarish asad mlt,1,Unknown,,,
phoned to icp csm name emailed at phoned to patient location name jbrown05s,1,Unknown,,,
critical results phoned to and read back by liza time and date by jiji rajan,1,Unknown,,,
duplicate order in soarian please see lab number for results,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name ppouz01s,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name ktoplis01s,1,Unknown,,,
final ph report faxed to ordering health care provider final ph report to follow in olis 20 kelly paradis healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,1,Unknown,,,
critical results phoned to and read back by oz mareno rn time and date by peter nueve,1,Unknown,,,
due to lab error test not performed,1,Unknown,,,
performed on cephied genexpert,1,Unknown,,,
verbal report given to rachel by angela boakye,1,Unknown,,,
detected by real time pcr,1,Unknown,,,
critical results phoned to and read back by shawn time and date by moneyram lakhan,1,Unknown,,,
cancelled routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthonatrio ca labs,1,Unknown,,,
ereference lab report scanned by health records to view report go to the respective emr or pcs pcm webacute application webacute see diagnostic tab s microbiology s hiv public health lab report srhc emr see laboratory section s microbiology section s hiv public health lab report srhc selecting all visits will capture reports on other accounts,1,Unknown,,,
verbal report given to irina er by vincenzina portelli,1,Unknown,,,
verbal report given to shamika 13 east by angela boakye mlt,1,Unknown,,,
critical results phoned to and read back by jessica 13emed time and date by chantal morris,1,Unknown,,,
critical results phoned to and read back by ruselle,1,Unknown,,,
critical results phoned to and read back by bob 4paeds time and date by jajn mclay,1,Unknown,,,
pleae refer to duplicate order in soarian,1,Unknown,,,
critical results phoned to and read back by angeline w13emed,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name svassoss01s,1,Unknown,,,
infl a h1 pdm09 multiplex not detected,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name kgalard01s,1,Unknown,,,
critical results phoned to and read back by sa16eric time and date by peter nueve,1,Unknown,,,
results called by michelle at results called to mckenzie read back y,1,Unknown,,,
results called by heather mableson at results called to mackenzie read back y,1,Unknown,,,
cancelled routine respiratory virus testing is not available for ambulatory and non hospitalized emergency room er patients in keeping with the public health ontario testing algorithm for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs test performed at toronto public health laboratory 661 university ave suite 1701 toronto on m5g 1m,1,Unknown,,,
not tested e swab received which is unsuitable for testing please resubmit sample in a viral transport media if testing is still required,1,Unknown,,,
phoned to icp csm name email sent 9 1 20 at phoned to patient location name shodsman01s,1,Unknown,,,
critical results phoned to and read back by woncm rn tenzin,1,Unknown,,,
critical results phoned to and read back by 4paed leeann,1,Unknown,,,
critical results phoned to and read back by lourdes time and date by peter nueve,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name jrapson01s,1,Unknown,,,
critical results phoned to and read back by helen rn er time and date by emmanuel gallardo mlt,1,Unknown,,,
results phoned to agnes nurse from er ac,1,Unknown,,,
cancelled routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs,1,Unknown,,,
duplicate specimen refer to first order,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name mbeatty01s,1,Unknown,,,
verbal report given to suzan rnw04paed by sadig mohamed,1,Unknown,,,
sample cancelled routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs testing site kingston public health laboratory 181 barrie st box 240 kingston on k7l 4v,1,Unknown,,,
critical results phoned to and read back by amelia ozone,1,Unknown,,,
critical results phoned to and read back by jennifer,1,Unknown,,,
unable to add on as sample is already at reference lab,1,Unknown,,,
refer to duplicate order in soarian,1,Unknown,,,
a copy of this report has been sent to the medical officer of health kenora northwestern health unit results called by hilary dawe at results called to hayley boudry read back y,1,Unknown,,,
critical results phoned to and read back by sa25 elisa time and date by peter nueve,1,Unknown,,,
cancelled routine seasonal respiratory virus testing is not available for adult er patients and ambulatory patients of all ages please refer to pho s respiratory virus test information sheet at www publichealthontario ca labs,1,Unknown,,,
phoned to icp csm name mcohen01s phoned to patient location name rfurzeco01s,1,Unknown,,,
verbal report given to ugonna 8e by vincenzina portelli reported to moh,1,Unknown,,,
duplicate see,1,Unknown,,,
critical results phoned to and read back by wer,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name rfarhta01s,1,Unknown,,,
phoned to icp csm name chalrto01s phoned to patient location name jwells01s,1,Unknown,,,
cancelled sample er patient does not receive respiratory test,1,Unknown,,,
phoned to icp csm name e mailed icp 0150 phoned to patient location name hmasoumi01s,1,Unknown,,,
metapneumovirus multiplex not detected,1,Unknown,,,
critical results phoned to and read back by christy time and date by antony sebastian mlt,1,Unknown,,,
collection please refer to order number,1,Unknown,,,
specimen not received in microbiology,1,Unknown,,,
incorrectly ordered in soarian re ordered by lab refer to for result re ordered by lab,1,Unknown,,,
refer to for results,1,Unknown,,,
verbal report given to kaylee rn w04paed by sadig mohamed,1,Unknown,,,
please refer to scan report on specimen,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name lwelden01s,1,Unknown,,,
not tested duplicate order please refer to order collected on the same day,1,Unknown,,,
critical results phoned to and read back by kirusahanth time and date by chantal morris,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name cmaguir01s,1,Unknown,,,
human enterovirus organism append further sars cmnt n,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name thowell01s,1,Unknown,,,
phoned to icp csm name tstipet01s phoned to patient location name lmellett01s,1,Unknown,,,
ereference lab report scanned by health records to view report go to the respective emr or pcs pcm webacute application webacute see diagnostic tab s microbiology s hsc microbiology reports emr see microbiology section s hsc microbiology report srhc selecting all visits will capture reports on other accounts,1,Unknown,,,
critical results phoned to and read back by julie 8emed time and date by chantal morris,1,Unknown,,,
specimen received in cobas collection medium this is not validated for genexpert influenza testing contacted er department and patient will not be admitted hence specimen does not need to be repeated,1,Unknown,,,
verbal report given to susan 4paed by vincenzina portelli reported to moh,1,Unknown,,,
results called by peter mayberry at results called to noni ndlovu rn read back y,1,Unknown,,,
phoned to icp csm name emailed @ phoned to patient location name hmasoumi01s,1,Unknown,,,
critical results phoned to and read back by leah 9w time and date by vincenzina portelli,1,Unknown,,,
critical results phoned to and read back by 12emed jisu,1,Unknown,,,
critical results phoned to and read back by abigail acute wer time and date by chantal morris,1,Unknown,,,
covid 19 virus not detected by real time pcr comments see scanned report tested at hospital for sick children 170 elizabeth street toronto on m5g 1x,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name jbrown05s,1,Unknown,,,
verbal report given to jamini rn wer by sadig mohamed,1,Unknown,,,
not tested unsuitable sample for testing if test is still,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name kmcdaid01s,1,Unknown,,,
critical results phoned to and read back by rachael w04paed time and date by chantal morris,1,Unknown,,,
results called by peter mayberry at results called to clara f rn read back y a copy of this report has been sent to the medical officer of health kenora northwestern health unit,1,Unknown,,,
critical results phoned to and read back by vidya 4paeds,1,Unknown,,,
see order for covid 19 and influenza a b results,1,Unknown,,,
critical results phoned to and read back by kevin rn time and date by abigail bu ot,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name lmellett,1,Unknown,,,
covid 19 virus not detected by real time pcr covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay copy of results sent to moh,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name kcooke02s,1,Unknown,,,
verbal report given to tsering rn w12wmed by sadig mohamed,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name ttibbideau01s,1,Unknown,,,
this is a duplicate order the other request will be processed as ordered see ph,1,Unknown,,,
critical results phoned to and read back by hamsha 4paeds time and date by jajn mclay,1,Unknown,,,
specimen received in a non virus transport kit unsuitable for influenza testing please re collect in viral transport media red top and re order,1,Unknown,,,
critical results phoned to and read back by laura 8emed time and date by jajn mclay,1,Unknown,,,
verbal report given to melissa by sarish asad mlt,1,Unknown,,,
the toronto phl reports due to a laboratory error results are not available for this sample we apologize for the error and request a repeat sample phl no toronto public health laboratory phl 661 university avenue suite 1701 toronto on m5g 1m,1,Unknown,,,
critical results phoned to and read back by brian,1,Unknown,,,
critical results phoned to and read back by tina time and date by peter nueve,1,Unknown,,,
phoned to icp csm name email sent 8 1 20 at phoned to patient location name jdeasis01s,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name vmayacorea01s,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name skaenth01s,1,Unknown,,,
nass sent incorrect specimen for testing please collect etti,1,Unknown,,,
covid 19 virus pcr test unable to be completed mismatch name specimen requisition,1,Unknown,,,
critical results phoned to and read back by lawrence 8wmed time and date by jajn mclay,1,Unknown,,,
critical results phoned to and read back by ann 9w rn time and date by ellie zeidi,1,Unknown,,,
duplicate order within 24 hours,1,Unknown,,,
phoned to icp csm name sent email phoned to patient location name smcdona02s,1,Unknown,,,
test not done mouth swab is an unsuitable specimen for respiratory virus testing,1,Unknown,,,
critical results phoned to and read back by avneet,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name mobrie01s,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name atoliba01s,1,Unknown,,,
phoned to icp csm name tanya stepetic phoned to patient location name,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name iroberge01s,1,Unknown,,,
corona virus 229e naat not detected,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name kkennedy01s,1,Unknown,,,
not tested e swab received is unsuitable for testing if test is still required please place a new order and collect specimen in viral transport media,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name sdinata01s,1,Unknown,,,
verbal report given to aezzy 9e by vincenzina portelli,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name cbeamis01s,1,Unknown,,,
e swab received is unsuitable for testing if test is still required please place a new order and send sample in viral transport media,1,Unknown,,,
